County,Latitude,Longitude
"Saratoga County, NY",43.107368661475505,-73.86391915696136
"Brazos County, TX",30.660798971514346,-96.30238494429564
"Marshall County, OK",34.024510174728285,-96.76913438580146
"Allegany County, MD",39.62146971865632,-78.69755905599831
"Wetzel County, WV",39.605263266124396,-80.63909760362081
"Jackson County, WI",44.31915044033146,-90.80516773373112
"Clatsop County, OR",46.01752615117681,-123.7169991609485
"Lewis County, WA",46.57776817522103,-122.39263834749106
"Allegany County, NY",42.257391752767944,-78.02755847202597
"Cedar County, IA",41.77232665873328,-91.13242304447513
"Orange County, IN",38.541778885539316,-86.49506928144632
"DeKalb County, GA",33.77158253170343,-84.2264215234336
"Pickens County, GA",34.46431977792322,-84.46563905443224
"Chouteau County, MT",47.88058387863839,-110.43522380288375
"Brown County, NE",42.43002058315869,-99.92950644091613
"Campbell County, TN",36.40351281475129,-84.14938458040174
"Franklin County, NC",36.08277335269106,-78.28569657306917
"Baltimore County, MD",39.44307216525278,-76.61632202821029
"Lyon County, KS",38.45618713751747,-96.15263974957881
"Carroll County, IA",42.03623328935875,-94.86055416877508
"Tensas Parish, LA",32.00186552843082,-91.34006656597599
"Monroe County, TN",35.442644887006246,-84.25280047633107
"Hamilton County, KS",37.9991525438402,-101.79125646473649
"Pocahontas County, IA",42.73413510799587,-94.67874661143925
"Gem County, ID",44.06154653648172,-116.39751896468772
"Independence County, AR",35.741586257524695,-91.56968438753148
"Lonoke County, AR",34.75426753070452,-91.8887835441881
"Newton County, IN",40.955847743645094,-87.39753659426451
"Franklin County, GA",34.375398965661,-83.22906740808422
"Hendry County, FL",26.5534157405389,-81.16589557025586
"Taliaferro County, GA",33.566090840766385,-82.87876446867129
"Jefferson County, TX",29.853745300820126,-94.1534361851132
"Meagher County, MT",46.59822407815072,-110.88566138497701
"La Plata County, CO",37.28658194831169,-107.84327068471862
"Bell County, TX",31.037345197468472,-97.47874404454932
"Kemper County, MS",32.754557930678935,-88.64115942389206
"Clark County, AR",34.05092604908562,-93.17635064182191
"Klamath County, OR",42.68640894050518,-121.65012099549229
"Oswego County, NY",43.46388778304879,-76.20870141673663
"Naranjito County, PR",18.288417762163558,-66.25255089777454
"Cherokee County, AL",34.17595596764691,-85.6037937154049
"Bandera County, TX",29.747204988592348,-99.24624410539869
"Rosebud County, MT",46.229652266202464,-106.73071223523466
"Union County, NM",36.48166847948506,-103.47097051336107
